run,seq,teamA,teamB,map,winner,rounds,reason,seed
20260923-142354-scrim-bot,1,9mAhmad.MahinBot,us:g_iter1,Islands,B,935,The winning team won by enemy HQ being d,
20260923-142354-scrim-bot,2,us:g_iter1,9mAhmad.lostincoordinates,ClearlyTwelveHorsesInASalad,A,700,The winning team won by enemy HQ being d,
20260923-142354-scrim-bot,3,us:g_iter1,A9ine.potato,SoupOnTheSide,A,702,The winning team won on tiebreakers (mor,
20260923-142354-scrim-bot,4,ARognes.FinalSubmission,us:g_iter1,Sheet4,B,2993,The winning team won by enemy HQ being d,
20260923-142354-scrim-bot,5,AllenWang314.bot1,us:g_iter1,Soup,B,687,The winning team won by enemy HQ being d,
20260923-142354-scrim-bot,6,AngusRitossa.newbot,us:g_iter1,TheHighGround,A,2037,The winning team won by enemy HQ being d,
20260923-142354-scrim-bot,7,us:g_iter1,EmaPajic.Qualifications,CentralLake,A,2929,The winning team won by enemy HQ being d,
20260923-142354-scrim-bot,8,GabrielDWu.buildawall2,us:g_iter1,Constriction,B,1210,The winning team won by enemy HQ being d,
20260923-142354-scrim-bot,9,us:g_iter1,IvanGeffner.finalbota,BeachFrontProperty,B,1567,The winning team won by enemy HQ being d,
20260923-142354-scrim-bot,10,J-J-Chen.player,us:g_iter1,MoreCowbell,B,687,The winning team won by enemy HQ being d,
20260923-142354-scrim-bot,11,KyleHassold.sprintbot,us:g_iter1,ALandDivided,B,690,The winning team won by enemy HQ being d,
20260923-142354-scrim-bot,12,us:g_iter1,LucianCov.ourRobot,Toothpaste,A,1210,The winning team won by enemy HQ being d,
20260923-142354-scrim-bot,13,MrHoseongLee.Neptune_v3,us:g_iter1,WhyDidntTheyUseEagles,B,681,The winning team won by enemy HQ being d,
20260923-142354-scrim-bot,14,Phrancium.Frankplayer1,us:g_iter1,Sheet4,B,678,The winning team won by enemy HQ being d,
20260923-142354-scrim-bot,15,Pleket.Bot,us:g_iter1,RandomSoup2,B,267,The winning team won by enemy HQ being d,
20260923-142354-scrim-bot,16,us:g_iter1,StoneT2000.FinalChowBotStable,DidAMonkeyMakeThis,A,1416,The winning team won by enemy HQ being d,
20260923-142354-scrim-bot,17,us:g_iter1,Strequals.rw8,Showerhead,A,1643,The winning team won by enemy HQ being d,
20260923-142354-scrim-bot,18,Sukanya-Kothapally.team4player,us:g_iter1,Squares,B,2069,The winning team won by enemy HQ being d,
20260923-142354-scrim-bot,19,us:g_iter1,TeamSerpentine.eendagsvliegjes,TheHighGround,A,1210,The winning team won by enemy HQ being d,
20260923-142354-scrim-bot,20,TeamSerpentine.noodleBot,us:g_iter1,DoesNotExist,A,3091,The winning team won by enemy HQ being d,
20260923-142354-scrim-bot,21,us:g_iter1,Tim-gubski.AngryWaffleMaker,Hourglass,B,1647,The winning team won by enemy HQ being d,
20260923-142354-scrim-bot,22,Tolsi.mybot,us:g_iter1,FourLakeLand,B,3083,The winning team won by enemy HQ being d,
20260923-142354-scrim-bot,23,us:g_iter1,VinayaBhat.team10pdx,MoreCowbell,B,687,The winning team won by enemy HQ being d,
20260923-142354-scrim-bot,24,WilliamYue37.Player1,us:g_iter1,DoesNotExist,B,3030,The winning team won by enemy HQ being d,
20260923-142354-scrim-bot,25,anthonybench.FunkBot,us:g_iter1,Hourglass,B,682,The winning team won by enemy HQ being d,
20260923-142354-scrim-bot,26,atliSig.buttletplayer,us:g_iter1,ALandDivided,B,690,The winning team won by enemy HQ being d,
20260923-142354-scrim-bot,27,us:g_iter1,awesomelemonade.citricsky,ChristmasInJuly,B,1022,The winning team won by enemy HQ being d,
20260923-142354-scrim-bot,28,us:g_iter1,battlecode20-team4.finalbota,IsThisProcedural,B,1566,The winning team won by enemy HQ being d,
20260923-142354-scrim-bot,29,us:g_iter1,benzyx.seeding,CentralSoup,B,1223,The winning team won by enemy HQ being d,
20260923-142354-scrim-bot,30,us:g_iter1,charboltron.team11newbot,ALandDivided,A,2882,The winning team won by enemy HQ being d,
20260923-142354-scrim-bot,31,us:g_iter1,cormackikkert.whyPermutator,Swirl,B,3032,The winning team won by enemy HQ being d,
20260923-142354-scrim-bot,32,us:g_iter1,cosimogonnelli.Team3player,ClearlyTwelveHorsesInASalad,A,700,The winning team won by enemy HQ being d,
20260923-142354-scrim-bot,33,cs454-w20-team3.playbot,us:g_iter1,Showerhead,A,932,The winning team won by enemy HQ being d,
20260923-142354-scrim-bot,34,denver-blake.sprint,us:g_iter1,Spiral,B,932,The winning team won on tiebreakers (mor,
20260923-142354-scrim-bot,35,djkeyes.addingComm,us:g_iter1,Egg,B,932,The winning team won by enemy HQ being d,
20260923-142354-scrim-bot,36,us:g_iter1,eggag32.BrutalPigeonBot,BeachFrontProperty,A,465,The winning team won by enemy HQ being d,
20260923-142354-scrim-bot,37,us:g_iter1,fewella.FirstPlayer,Hills,A,931,The winning team won on tiebreakers (mor,
20260923-142354-scrim-bot,38,us:g_iter1,jenlz.bustedJulianbot,SoupOnTheSide,A,702,The winning team won by enemy HQ being d,
20260923-142354-scrim-bot,39,jmerle.camel_case_sprint,us:g_iter1,Infinity,B,938,The winning team won by enemy HQ being d,
20260923-142354-scrim-bot,40,kylittle.qualsbot2,us:g_iter1,WhyDidntTheyUseEagles,B,3077,The winning team won by enemy HQ being d,
20260923-142354-scrim-bot,41,us:g_iter1,laurenschneider.pdx_team_one,SoupOnTheSide,B,3058,The winning team won by enemy HQ being d,
20260923-142354-scrim-bot,42,us:g_iter1,lfchain.bigBudsBot,TwoLakeLand,A,680,The winning team won by enemy HQ being d,
20260923-142354-scrim-bot,43,us:g_iter1,luisgonzalex.CodeMonkeys,ProceduralConfirmed,A,2844,The winning team won by enemy HQ being d,
20260923-142354-scrim-bot,44,mama4294.maloneplayer,us:g_iter1,WaterBot,B,2918,The winning team won by enemy HQ being d,
20260923-142354-scrim-bot,45,max-titov.seeding,us:g_iter1,Swirl,B,684,The winning team won by enemy HQ being d,
20260923-142354-scrim-bot,46,mhahn2003.nonrush,us:g_iter1,IceCream,A,931,The winning team won on tiebreakers (mor,
20260923-142354-scrim-bot,47,us:g_iter1,michaeltliu.beginnerplayer,DoesNotExist,A,690,The winning team won by enemy HQ being d,
20260923-142354-scrim-bot,48,monmouth-college-cs.MyFirstPlayer,us:g_iter1,NoU,B,932,The winning team won by enemy HQ being d,
20260923-142354-scrim-bot,49,us:g_iter1,mvpatel2000.qual,CentralLake,B,678,The winning team won by enemy HQ being d,
20260923-142354-scrim-bot,50,ngkuru.qualifyingtournament,us:g_iter1,NoU,B,3096,The winning team won on tiebreakers (mor,
20260923-142354-scrim-bot,51,opheez.landscapers,us:g_iter1,Swirl,B,684,The winning team won on tiebreakers (mor,
20260923-142354-scrim-bot,52,orionquick.aldebaranplayer,us:g_iter1,Soup,B,687,The winning team won by enemy HQ being d,
20260923-142354-scrim-bot,53,us:g_iter1,ovimura.welovesoup,Infinity,A,938,The winning team won on tiebreakers (mor,
20260923-142354-scrim-bot,54,us:g_iter1,poortho.stable_seeding_bot,CentralSoup,B,214,The winning team won by enemy HQ being d,
20260923-142354-scrim-bot,55,us:g_iter1,ronniesong0809.finalbota,DisproportionatelySmallGap,B,1216,The winning team won by enemy HQ being d,
